dt,data
2017-01-31,208532.99071920005
2017-02-28,357274.35159400007
2017-03-31,326079.32884900004
2017-04-30,224811.580565
2017-05-31,248427.58691899994
2017-06-30,272921.590343
2017-07-31,298202.179702
2017-08-31,246983.03076199995
2017-09-30,242897.030762
2017-10-31,239726.89013900002
2017-11-30,250464.00097700005
2017-12-31,271446.14891999995
2018-01-31,307402.64987599995
2018-02-28,274215.89113400003
2018-03-31,320714.42188300006
2018-04-30,200658.178709
2018-05-31,229683.43945099995
2018-06-30,232787.899903
2018-07-31,215097.99902000002
2018-08-31,136290.561279
2018-09-30,155820.909428
2018-10-31,165652.07910099998
2018-11-30,230020.07958400008
2018-12-31,249947.5586
2019-01-31,256817.379892
2019-02-28,199080.70824900005
2019-03-31,205401.28076799997
2019-04-30,148858.239749
2019-05-31,128153.54003999999
2019-06-30,121492.09985799999
2019-07-31,114849.15967
2019-08-31,132655.02099599998
2019-09-30,129682.199465
2019-10-31,151824.33837800001
2019-11-30,201276.82959199997
2019-12-31,243742.578611
2020-01-31,256972.720962
2020-02-29,213422.12988199998
2020-03-31,89927.99011283003
2020-04-30,80126.5903324
2020-05-31,72262.969482
2020-06-30,30497.640015000004
2020-07-31,164424
2020-08-31,209383
2020-09-30,171976
2020-10-31,176133
2020-11-30,185734
2020-12-31,227253
2021-01-31,255045
2021-02-28,257431
2021-03-31,260998
2021-04-30,235530
2021-05-31,163613
2021-06-30,169631
2021-07-31,164424
2021-08-31,209383
2021-09-30,171976
2021-10-31,176133
2021-11-30,185734
2021-12-31,227253
2022-01-31,255045
2022-02-28,257431
2022-03-31,260998
2022-04-30,235530
2022-05-31,163613
2022-06-30,169631
2022-07-31,164424
